iter	Passed	Remaining
567	61719	25209
568	61832	25102
569	61953	24998
570	62078	24896
571	62199	24792
572	62346	24699
573	62479	24599
574	62592	24492
575	62716	24389
576	62826	24281
577	62948	24177
578	63074	24075
579	63202	23973
580	63346	23877
581	63470	23774
582	63623	23681
583	63755	23580
584	63873	23474
585	64007	23374
586	64127	23269
587	64251	23165
588	64382	23063
589	64519	22964
590	64658	22865
591	64781	22761
592	64904	22656
593	65023	22550
594	65147	22445
595	65268	22340
596	65391	22235
597	65513	22129
598	65631	22023
599	65741	21913
600	65876	21812
601	65998	21707
602	66122	21602
603	66248	21498
604	66382	21395
605	66500	21289
606	66626	21184
607	66746	21077
608	66868	20971
609	67015	20873
610	67148	20770
611	67261	20662
612	67391	20558
613	67525	20455
614	67653	20351
615	67777	20245
616	67906	20140
617	68038	20037
618	68161	19930
619	68298	19828
620	68426	19723
621	68563	19621
622	68698	19517
623	68815	19409
624	68945	19304
625	69065	19197
626	69174	19086
627	69279	18974
628	69397	18866
629	69515	18758
630	69643	18652
631	69767	18545
632	69888	18438
633	70011	18330
634	70123	18221
635	70241	18112
636	70361	18004
637	70491	17899
638	70613	17791
639	70731	17682
640	70860	17576
641	70983	17469
642	71103	17361
643	71218	17251
644	71339	17143
645	71451	17033
646	71574	16925
647	71693	16817
648	71818	16709
649	71941	16601
650	72058	16492
651	72174	16383
652	72281	16271
653	72414	16165
654	72522	16054
655	72638	15945
656	72771	15839
657	72884	15728
658	73003	15619
659	73128	15512
660	73268	15407
661	73388	15298
662	73519	15191
663	73639	15082
664	73764	14974
665	73886	14866
666	74014	14758
667	74132	14648
668	74251	14539
669	74368	14429
670	74492	14321
671	74621	14213
672	74752	14106
673	74870	13996
674	74975	13884
675	75091	13774
676	75206	13663
677	75332	13555
678	75458	13446
679	75585	13338
680	75713	13230
681	75841	13122
682	75954	13011
683	76071	12901
684	76191	12791
685	76304	12680
686	76417	12569
687	76533	12458
688	76646	12347
689	76760	12237
690	76892	12129
691	77020	12020
692	77142	11910
693	77263	11801
694	77379	11690
695	77497	11580
696	77616	11469
697	77736	11359
698	77855	11249
699	77979	11139
700	78105	11030
701	78223	10920
702	78349	10810
703	78469	10700
704	78596	10591
705	78721	10481
706	78843	10371
707	78966	10261
708	79096	10152
709	79229	10043
710	79347	9932
711	79481	9823
712	79610	9714
713	79721	9602
714	79855	9493
715	79996	9385
716	80115	9274
717	80224	9162
718	80334	9050
719	80449	8938
720	80560	8826
721	80679	8716
722	80795	8604
723	80909	8493
724	81029	8382
725	81146	8271
726	81258	8159
727	81374	8048
728	81487	7936
729	81614	7826
730	81734	7715
731	81850	7603
732	81976	7493
733	82107	7382
734	82222	7271
735	82342	7160
736	82498	7052
737	82614	6940
738	82751	6830
739	82870	6719
740	82988	6607
741	83101	6495
742	83226	6384
743	83345	6273
744	83469	6162
745	83593	6050
746	83718	5939
747	83845	5828
748	83994	5719
749	84047	5603
750	84176	5492
751	84293	5380
752	84415	5268
753	84528	5156
754	84656	5045
755	84771	4933
756	84886	4821
757	84992	4709
758	85110	4597
759	85248	4486
760	85368	4374
761	85488	4263
762	85618	4151
763	85726	4039
764	85844	3927
765	85965	3815
766	86081	3703
767	86190	3591
768	86320	3479
769	86463	3368
770	86577	3256
771	86723	3145
772	86851	3033
773	86981	2921
774	87124	2810
775	87247	2698
776	87382	2586
777	87491	2474
778	87608	2361
779	87734	2249
780	87852	2137
781	87967	2024
782	88088	1912
783	88217	1800
784	88346	1688
785	88465	1575
786	88595	1463
787	88731	1351
788	88864	1238
789	88996	1126
790	89127	1014
791	89249	901
792	89366	788
793	89472	676
794	89593	563
795	89728	450
796	89842	338
797	89965	225
798	90075	112
799	90193	0
